"Step","Score","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MIN","Alien-v5__atarienvpool_bootstrCI - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","NaN","",""
"65536","153.3333282470703","153.3333282470703","153.3333282470703"
"81920","177.8873291015625","177.8873291015625","177.8873291015625"
"98304","189.29824829101562","189.29824829101562","189.29824829101562"
"114688","195.95040893554688","195.95040893554688","195.95040893554688"
"131072","200.47244262695312","200.47244262695312","200.47244262695312"
"147456","201.71875","201.71875","201.71875"
"163840","205.3125","205.3125","205.3125"
"180224","210","210","210"
"196608","207.5","207.5","207.5"
"212992","207.5","207.5","207.5"
"229376","219.6875","219.6875","219.6875"
"245760","242.578125","242.578125","242.578125"
"262144","260.859375","260.859375","260.859375"
"278528","267.265625","267.265625","267.265625"
"294912","268.59375","268.59375","268.59375"
"311296","279.84375","279.84375","279.84375"
"327680","291.71875","291.71875","291.71875"
"344064","293.046875","293.046875","293.046875"
"360448","291.25","291.25","291.25"
"376832","293.59375","293.59375","293.59375"
"393216","296.25","296.25","296.25"
"409600","295.46875","295.46875","295.46875"
"425984","292.578125","292.578125","292.578125"
"442368","290.078125","290.078125","290.078125"
"458752","297.421875","297.421875","297.421875"
"475136","295","295","295"
"491520","293.828125","293.828125","293.828125"
"507904","298.75","298.75","298.75"
"524288","294.84375","294.84375","294.84375"
"540672","282.96875","282.96875","282.96875"
"557056","285.9375","285.9375","285.9375"
"573440","287.96875","287.96875","287.96875"
"589824","283.4375","283.4375","283.4375"
"606208","281.40625","281.40625","281.40625"
"622592","284.296875","284.296875","284.296875"
"638976","281.328125","281.328125","281.328125"
"655360","280.546875","280.546875","280.546875"
"671744","282.1875","282.1875","282.1875"
"688128","282.109375","282.109375","282.109375"
"704512","283.046875","283.046875","283.046875"
"720896","285.15625","285.15625","285.15625"
"737280","280.9375","280.9375","280.9375"
"753664","281.640625","281.640625","281.640625"
"770048","283.90625","283.90625","283.90625"
"786432","281.875","281.875","281.875"
"802816","279.921875","279.921875","279.921875"
"819200","283.515625","283.515625","283.515625"
"835584","285.46875","285.46875","285.46875"
"851968","278.984375","278.984375","278.984375"
"868352","285.15625","285.15625","285.15625"
"884736","284.21875","284.21875","284.21875"
"901120","281.25","281.25","281.25"
"917504","286.953125","286.953125","286.953125"
"933888","297.265625","297.265625","297.265625"
"950272","290.234375","290.234375","290.234375"
"966656","292.1875","292.1875","292.1875"
"983040","294.84375","294.84375","294.84375"
"999424","286.171875","286.171875","286.171875"
"1015808","279.921875","279.921875","279.921875"
"1032192","277.890625","277.890625","277.890625"
"1048576","275.3125","275.3125","275.3125"
"1064960","274.375","274.375","274.375"
"1081344","279.296875","279.296875","279.296875"
"1097728","290.234375","290.234375","290.234375"
"1114112","291.5625","291.5625","291.5625"
"1130496","298.984375","298.984375","298.984375"
"1146880","301.171875","301.171875","301.171875"
"1163264","303.59375","303.59375","303.59375"
"1179648","298.359375","298.359375","298.359375"
"1196032","295.078125","295.078125","295.078125"
"1212416","289.296875","289.296875","289.296875"
"1228800","287.890625","287.890625","287.890625"
"1245184","282.421875","282.421875","282.421875"
"1261568","275.78125","275.78125","275.78125"
"1277952","274.84375","274.84375","274.84375"
"1294336","275.546875","275.546875","275.546875"
"1310720","279.453125","279.453125","279.453125"
"1327104","277.5","277.5","277.5"
"1343488","279.375","279.375","279.375"
"1359872","282.96875","282.96875","282.96875"
"1376256","285.46875","285.46875","285.46875"
"1392640","283.515625","283.515625","283.515625"
