"Step","Score","Alien-v5__bootstrapRLE - charts/game_score__MIN","Alien-v5__bootstrapRLE - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","154.5454559326172","154.5454559326172","154.5454559326172"
"65536","163.43283081054688","163.43283081054688","163.43283081054688"
"81920","182.7433624267578","182.7433624267578","182.7433624267578"
"98304","205.4166717529297","205.4166717529297","205.4166717529297"
"114688","208.59375","208.59375","208.59375"
"131072","213.984375","213.984375","213.984375"
"147456","228.75","228.75","228.75"
"163840","243.90625","243.90625","243.90625"
"180224","252.5","252.5","252.5"
"196608","236.953125","236.953125","236.953125"
"212992","243.125","243.125","243.125"
"229376","261.328125","261.328125","261.328125"
"245760","262.5","262.5","262.5"
"262144","261.171875","261.171875","261.171875"
"278528","259.609375","259.609375","259.609375"
"294912","262.34375","262.34375","262.34375"
"311296","263.28125","263.28125","263.28125"
"327680","267.96875","267.96875","267.96875"
"344064","261.25","261.25","261.25"
"360448","263.4375","263.4375","263.4375"
"376832","269.453125","269.453125","269.453125"
"393216","273.28125","273.28125","273.28125"
"409600","275.78125","275.78125","275.78125"
"425984","281.484375","281.484375","281.484375"
"442368","282.890625","282.890625","282.890625"
"458752","282.8125","282.8125","282.8125"
"475136","281.015625","281.015625","281.015625"
"491520","273.75","273.75","273.75"
"507904","271.015625","271.015625","271.015625"
"524288","272.34375","272.34375","272.34375"
"540672","267.34375","267.34375","267.34375"
"557056","274.84375","274.84375","274.84375"
"573440","277.421875","277.421875","277.421875"
"589824","279.84375","279.84375","279.84375"
"606208","283.515625","283.515625","283.515625"
"622592","278.90625","278.90625","278.90625"
"638976","290.703125","290.703125","290.703125"
"655360","297.421875","297.421875","297.421875"
"671744","297.1875","297.1875","297.1875"
"688128","297.578125","297.578125","297.578125"
"704512","295.625","295.625","295.625"
"720896","287.421875","287.421875","287.421875"
"737280","281.640625","281.640625","281.640625"
"753664","282.96875","282.96875","282.96875"
"770048","293.671875","293.671875","293.671875"
"786432","282.03125","282.03125","282.03125"
"802816","282.03125","282.03125","282.03125"
"819200","271.796875","271.796875","271.796875"
"835584","274.84375","274.84375","274.84375"
"851968","263.828125","263.828125","263.828125"
"868352","271.328125","271.328125","271.328125"
"884736","287.5","287.5","287.5"
"901120","284.921875","284.921875","284.921875"
"917504","301.71875","301.71875","301.71875"
"933888","320.078125","320.078125","320.078125"
"950272","319.53125","319.53125","319.53125"
"966656","305.859375","305.859375","305.859375"
"983040","316.796875","316.796875","316.796875"
"999424","316.796875","316.796875","316.796875"
"1015808","325.46875","325.46875","325.46875"
"1032192","334.140625","334.140625","334.140625"
"1048576","341.71875","341.71875","341.71875"
"1064960","356.015625","356.015625","356.015625"
"1081344","354.6875","354.6875","354.6875"
"1097728","346.5625","346.5625","346.5625"
"1114112","348.046875","348.046875","348.046875"
"1130496","337.34375","337.34375","337.34375"
"1146880","360.625","360.625","360.625"
"1163264","362.03125","362.03125","362.03125"
"1179648","365.234375","365.234375","365.234375"
"1196032","380.859375","380.859375","380.859375"
"1212416","372.5","372.5","372.5"
"1228800","375.703125","375.703125","375.703125"
"1245184","378.90625","378.90625","378.90625"
"1261568","408.125","408.125","408.125"
"1277952","407.5","407.5","407.5"
"1294336","395.15625","395.15625","395.15625"
"1310720","401.796875","401.796875","401.796875"
"1327104","397.96875","397.96875","397.96875"
"1343488","384.375","384.375","384.375"
"1359872","377.65625","377.65625","377.65625"
"1376256","400.234375","400.234375","400.234375"
"1392640","406.328125","406.328125","406.328125"
