"Step","Score","Alien-v5__ppo_rnd_envpool - charts/game_score__MIN","Alien-v5__ppo_rnd_envpool - charts/game_score__MAX"
"16384","200","200","200"
"32768","199.5918426513672","199.5918426513672","199.5918426513672"
"49152","198.64865112304688","198.64865112304688","198.64865112304688"
"65536","199.51455688476562","199.51455688476562","199.51455688476562"
"81920","206.9105682373047","206.9105682373047","206.9105682373047"
"98304","204.765625","204.765625","204.765625"
"114688","211.953125","211.953125","211.953125"
"131072","208.671875","208.671875","208.671875"
"147456","206.953125","206.953125","206.953125"
"163840","204.609375","204.609375","204.609375"
"180224","210","210","210"
"196608","200.703125","200.703125","200.703125"
"212992","199.53125","199.53125","199.53125"
"229376","202.65625","202.65625","202.65625"
"245760","208.203125","208.203125","208.203125"
"262144","213.28125","213.28125","213.28125"
"278528","241.71875","241.71875","241.71875"
"294912","245.9375","245.9375","245.9375"
"311296","254.296875","254.296875","254.296875"
"327680","262.03125","262.03125","262.03125"
"344064","267.109375","267.109375","267.109375"
"360448","251.875","251.875","251.875"
"376832","258.125","258.125","258.125"
"393216","265.546875","265.546875","265.546875"
"409600","266.875","266.875","266.875"
"425984","263.125","263.125","263.125"
"442368","268.125","268.125","268.125"
"458752","279.21875","279.21875","279.21875"
"475136","287.890625","287.890625","287.890625"
"491520","290.15625","290.15625","290.15625"
"507904","296.171875","296.171875","296.171875"
"524288","298.90625","298.90625","298.90625"
"540672","292.5","292.5","292.5"
"557056","290.078125","290.078125","290.078125"
"573440","289.140625","289.140625","289.140625"
"589824","287.96875","287.96875","287.96875"
"606208","290.390625","290.390625","290.390625"
"622592","290.625","290.625","290.625"
"638976","289.765625","289.765625","289.765625"
"655360","286.640625","286.640625","286.640625"
"671744","283.046875","283.046875","283.046875"
"688128","279.0625","279.0625","279.0625"
"704512","276.171875","276.171875","276.171875"
"720896","274.84375","274.84375","274.84375"
"737280","276.71875","276.71875","276.71875"
"753664","275.78125","275.78125","275.78125"
"770048","278.28125","278.28125","278.28125"
"786432","278.984375","278.984375","278.984375"
"802816","281.40625","281.40625","281.40625"
"819200","281.953125","281.953125","281.953125"
"835584","288.59375","288.59375","288.59375"
"851968","292.03125","292.03125","292.03125"
"868352","291.796875","291.796875","291.796875"
"884736","293.75","293.75","293.75"
"901120","292.34375","292.34375","292.34375"
"917504","288.671875","288.671875","288.671875"
"933888","286.5625","286.5625","286.5625"
"950272","287.890625","287.890625","287.890625"
"966656","285.625","285.625","285.625"
"983040","288.90625","288.90625","288.90625"
