"Step","TrajLen","Alien-v5 PPO NoisyNet - charts/traj_len__MIN","Alien-v5 PPO NoisyNet - charts/traj_len__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","NaN","",""
"65536","493.57142857142856","493.57142857142856","493.57142857142856"
"81920","577.5970149253732","577.5970149253732","577.5970149253732"
"98304","625.5272727272727","625.5272727272727","625.5272727272727"
"114688","645.8373983739838","645.8373983739838","645.8373983739838"
"131072","653.3359375","653.3359375","653.3359375"
"147456","661.0234375","661.0234375","661.0234375"
"163840","669.0625","669.0625","669.0625"
"180224","671.5234375","671.5234375","671.5234375"
"196608","674.765625","674.765625","674.765625"
"212992","670.0234375","670.0234375","670.0234375"
"229376","668.7265625","668.7265625","668.7265625"
"245760","683.984375","683.984375","683.984375"
"262144","682.34375","682.34375","682.34375"
"278528","679.328125","679.328125","679.328125"
"294912","663.984375","663.984375","663.984375"
"311296","660.171875","660.171875","660.171875"
"327680","658.046875","658.046875","658.046875"
"344064","656.84375","656.84375","656.84375"
"360448","671.0859375","671.0859375","671.0859375"
"376832","665.765625","665.765625","665.765625"
"393216","662.0703125","662.0703125","662.0703125"
"409600","662.6796875","662.6796875","662.6796875"
"425984","668.09375","668.09375","668.09375"
"442368","657.2265625","657.2265625","657.2265625"
"458752","656.15625","656.15625","656.15625"
"475136","656.2734375","656.2734375","656.2734375"
"491520","651.3203125","651.3203125","651.3203125"
"507904","639.9140625","639.9140625","639.9140625"
"524288","630.375","630.375","630.375"
"540672","634.9375","634.9375","634.9375"
"557056","627.5703125","627.5703125","627.5703125"
"573440","621.9609375","621.9609375","621.9609375"
"589824","622.078125","622.078125","622.078125"
"606208","623.5390625","623.5390625","623.5390625"
"622592","617.9140625","617.9140625","617.9140625"
"638976","615.03125","615.03125","615.03125"
"655360","616.28125","616.28125","616.28125"
"671744","613.9609375","613.9609375","613.9609375"
"688128","623.3203125","623.3203125","623.3203125"
"704512","627.140625","627.140625","627.140625"
"720896","637.328125","637.328125","637.328125"
"737280","647.0390625","647.0390625","647.0390625"
"753664","648.9609375","648.9609375","648.9609375"
"770048","662.453125","662.453125","662.453125"
"786432","668.0703125","668.0703125","668.0703125"
"802816","670.0703125","670.0703125","670.0703125"
"819200","684.40625","684.40625","684.40625"
"835584","695.7265625","695.7265625","695.7265625"
"851968","701.7265625","701.7265625","701.7265625"
"868352","686.703125","686.703125","686.703125"
"884736","704.578125","704.578125","704.578125"
"901120","710.046875","710.046875","710.046875"
"917504","699.875","699.875","699.875"
"933888","707.9296875","707.9296875","707.9296875"
"950272","711.671875","711.671875","711.671875"
"966656","707.703125","707.703125","707.703125"
"983040","712.703125","712.703125","712.703125"
"999424","725","725","725"
"1015808","724.265625","724.265625","724.265625"
"1032192","720.1640625","720.1640625","720.1640625"
"1048576","727.4765625","727.4765625","727.4765625"
"1064960","707.0859375","707.0859375","707.0859375"
"1081344","692.09375","692.09375","692.09375"
"1097728","685.921875","685.921875","685.921875"
"1114112","680.3515625","680.3515625","680.3515625"
"1130496","659.234375","659.234375","659.234375"
"1146880","661.25","661.25","661.25"
"1163264","662.625","662.625","662.625"
"1179648","656.109375","656.109375","656.109375"
"1196032","642.546875","642.546875","642.546875"
"1212416","646.15625","646.15625","646.15625"
"1228800","626.1796875","626.1796875","626.1796875"
"1245184","616.171875","616.171875","616.171875"
"1261568","621.5078125","621.5078125","621.5078125"
"1277952","608.859375","608.859375","608.859375"
"1294336","615.03125","615.03125","615.03125"
"1310720","613.1875","613.1875","613.1875"
