"Step","TrajLen","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MIN","Alien-v5__atarienvpool_bootstrCI - charts/traj_len__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","NaN","",""
"65536","486.1666666666667","486.1666666666667","486.1666666666667"
"81920","576.3521126760563","576.3521126760563","576.3521126760563"
"98304","616.6929824561404","616.6929824561404","616.6929824561404"
"114688","628.5454545454545","628.5454545454545","628.5454545454545"
"131072","640.0787401574803","640.0787401574803","640.0787401574803"
"147456","651.34375","651.34375","651.34375"
"163840","650.9609375","650.9609375","650.9609375"
"180224","648.84375","648.84375","648.84375"
"196608","643.0703125","643.0703125","643.0703125"
"212992","637.375","637.375","637.375"
"229376","637.953125","637.953125","637.953125"
"245760","645.8828125","645.8828125","645.8828125"
"262144","651.921875","651.921875","651.921875"
"278528","651.453125","651.453125","651.453125"
"294912","641.9296875","641.9296875","641.9296875"
"311296","645.109375","645.109375","645.109375"
"327680","658.0625","658.0625","658.0625"
"344064","662.8046875","662.8046875","662.8046875"
"360448","657.734375","657.734375","657.734375"
"376832","663.46875","663.46875","663.46875"
"393216","662.671875","662.671875","662.671875"
"409600","666.84375","666.84375","666.84375"
"425984","656.0234375","656.0234375","656.0234375"
"442368","652.1015625","652.1015625","652.1015625"
"458752","640.7890625","640.7890625","640.7890625"
"475136","632.5703125","632.5703125","632.5703125"
"491520","622.8046875","622.8046875","622.8046875"
"507904","626.296875","626.296875","626.296875"
"524288","616.546875","616.546875","616.546875"
"540672","616.9765625","616.9765625","616.9765625"
"557056","645.703125","645.703125","645.703125"
"573440","650.921875","650.921875","650.921875"
"589824","652.015625","652.015625","652.015625"
"606208","655.71875","655.71875","655.71875"
"622592","646.8359375","646.8359375","646.8359375"
"638976","644.15625","644.15625","644.15625"
"655360","648.0390625","648.0390625","648.0390625"
"671744","643.59375","643.59375","643.59375"
"688128","629.9609375","629.9609375","629.9609375"
"704512","641.7265625","641.7265625","641.7265625"
"720896","633.796875","633.796875","633.796875"
"737280","620.25","620.25","620.25"
"753664","620.6640625","620.6640625","620.6640625"
"770048","624.6796875","624.6796875","624.6796875"
"786432","616.2109375","616.2109375","616.2109375"
"802816","621.078125","621.078125","621.078125"
"819200","626.1640625","626.1640625","626.1640625"
"835584","633.0546875","633.0546875","633.0546875"
"851968","635.0234375","635.0234375","635.0234375"
"868352","631.125","631.125","631.125"
"884736","628.1953125","628.1953125","628.1953125"
"901120","624.7890625","624.7890625","624.7890625"
"917504","619.9453125","619.9453125","619.9453125"
"933888","619.9609375","619.9609375","619.9609375"
"950272","617.640625","617.640625","617.640625"
"966656","615.59375","615.59375","615.59375"
"983040","615.7890625","615.7890625","615.7890625"
"999424","607.546875","607.546875","607.546875"
"1015808","611.8671875","611.8671875","611.8671875"
"1032192","616.828125","616.828125","616.828125"
"1048576","612.7109375","612.7109375","612.7109375"
"1064960","621.1015625","621.1015625","621.1015625"
"1081344","611.4375","611.4375","611.4375"
"1097728","612.3984375","612.3984375","612.3984375"
"1114112","599.5078125","599.5078125","599.5078125"
"1130496","603.21875","603.21875","603.21875"
"1146880","592.9375","592.9375","592.9375"
"1163264","604.5234375","604.5234375","604.5234375"
"1179648","611.3984375","611.3984375","611.3984375"
"1196032","612.53125","612.53125","612.53125"
"1212416","610.125","610.125","610.125"
"1228800","613.9765625","613.9765625","613.9765625"
"1245184","611.125","611.125","611.125"
"1261568","586.5625","586.5625","586.5625"
"1277952","582.0859375","582.0859375","582.0859375"
"1294336","580.578125","580.578125","580.578125"
