"Step","TrajLen","Alien-v5__ppo_rnd_envpool - charts/traj_len__MIN","Alien-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"16384","664.0909090909091","664.0909090909091","664.0909090909091"
"32768","664.265306122449","664.265306122449","664.265306122449"
"49152","665.3513513513514","665.3513513513514","665.3513513513514"
"65536","668.8058252427185","668.8058252427185","668.8058252427185"
"81920","665.8861788617886","665.8861788617886","665.8861788617886"
"98304","660.5859375","660.5859375","660.5859375"
"114688","660.75","660.75","660.75"
"131072","660.6328125","660.6328125","660.6328125"
"147456","656.109375","656.109375","656.109375"
"163840","654.8203125","654.8203125","654.8203125"
"180224","664.1328125","664.1328125","664.1328125"
"196608","659.0078125","659.0078125","659.0078125"
"212992","651","651","651"
"229376","654.3359375","654.3359375","654.3359375"
"245760","657.7734375","657.7734375","657.7734375"
"262144","653.8984375","653.8984375","653.8984375"
"278528","658.21875","658.21875","658.21875"
"294912","658.8359375","658.8359375","658.8359375"
"311296","649.7890625","649.7890625","649.7890625"
"327680","647.046875","647.046875","647.046875"
"344064","649.640625","649.640625","649.640625"
"360448","643.359375","643.359375","643.359375"
"376832","633.5234375","633.5234375","633.5234375"
"393216","637.1953125","637.1953125","637.1953125"
"409600","636.2265625","636.2265625","636.2265625"
"425984","633.40625","633.40625","633.40625"
"442368","622.7265625","622.7265625","622.7265625"
"458752","629.8984375","629.8984375","629.8984375"
"475136","632.6484375","632.6484375","632.6484375"
"491520","631.828125","631.828125","631.828125"
"507904","635.1796875","635.1796875","635.1796875"
"524288","649.6015625","649.6015625","649.6015625"
"540672","641.140625","641.140625","641.140625"
"557056","634.390625","634.390625","634.390625"
"573440","631.125","631.125","631.125"
"589824","614.6953125","614.6953125","614.6953125"
"606208","619.25","619.25","619.25"
"622592","611.7265625","611.7265625","611.7265625"
"638976","611.6953125","611.6953125","611.6953125"
"655360","597.9765625","597.9765625","597.9765625"
"671744","596.609375","596.609375","596.609375"
"688128","591.015625","591.015625","591.015625"
"704512","584.7109375","584.7109375","584.7109375"
"720896","589.3203125","589.3203125","589.3203125"
"737280","597.96875","597.96875","597.96875"
"753664","598.2265625","598.2265625","598.2265625"
