"Step","Score","Alien-v5__ppo_rle_queue-based__1__1733524677 - charts/game_score__MIN","Alien-v5__ppo_rle_queue-based__1__1733524677 - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","158.75","158.75","158.75"
"65536","162.2413787841797","162.2413787841797","162.2413787841797"
"81920","184.61538696289062","184.61538696289062","184.61538696289062"
"98304","196.55999755859375","196.55999755859375","196.55999755859375"
"114688","198.046875","198.046875","198.046875"
"131072","202.8125","202.8125","202.8125"
"147456","207.890625","207.890625","207.890625"
"163840","212.65625","212.65625","212.65625"
"180224","208.28125","208.28125","208.28125"
"196608","202.421875","202.421875","202.421875"
"212992","202.890625","202.890625","202.890625"
"229376","210.78125","210.78125","210.78125"
"245760","214.609375","214.609375","214.609375"
"262144","215.078125","215.078125","215.078125"
"278528","218.4375","218.4375","218.4375"
"294912","222.03125","222.03125","222.03125"
"311296","219.921875","219.921875","219.921875"
"327680","218.984375","218.984375","218.984375"
"344064","220.703125","220.703125","220.703125"
"360448","220.078125","220.078125","220.078125"
"376832","216.953125","216.953125","216.953125"
"393216","216.484375","216.484375","216.484375"
"409600","216.171875","216.171875","216.171875"
"425984","216.484375","216.484375","216.484375"
"442368","211.5625","211.5625","211.5625"
"458752","216.25","216.25","216.25"
"475136","213.75","213.75","213.75"
"491520","217.8125","217.8125","217.8125"
"507904","221.09375","221.09375","221.09375"
"524288","217.96875","217.96875","217.96875"
"540672","218.828125","218.828125","218.828125"
"557056","224.140625","224.140625","224.140625"
"573440","230.625","230.625","230.625"
"589824","225.3125","225.3125","225.3125"
"606208","225.78125","225.78125","225.78125"
"622592","221.875","221.875","221.875"
"638976","230.46875","230.46875","230.46875"
"655360","220.546875","220.546875","220.546875"
"671744","228.359375","228.359375","228.359375"
"688128","237.65625","237.65625","237.65625"
"704512","231.25","231.25","231.25"
"720896","225.78125","225.78125","225.78125"
"737280","236.484375","236.484375","236.484375"
"753664","236.953125","236.953125","236.953125"
"770048","256.484375","256.484375","256.484375"
"786432","261.71875","261.71875","261.71875"
"802816","266.015625","266.015625","266.015625"
"819200","275.46875","275.46875","275.46875"
"835584","277.421875","277.421875","277.421875"
"851968","264.296875","264.296875","264.296875"
"868352","268.75","268.75","268.75"
"884736","276.25","276.25","276.25"
"901120","264.609375","264.609375","264.609375"
"917504","264.140625","264.140625","264.140625"
"933888","267.65625","267.65625","267.65625"
"950272","286.71875","286.71875","286.71875"
"966656","294.53125","294.53125","294.53125"
"983040","302.8125","302.8125","302.8125"
"999424","311.015625","311.015625","311.015625"
"1015808","312.96875","312.96875","312.96875"
"1032192","312.578125","312.578125","312.578125"
"1048576","316.484375","316.484375","316.484375"
"1064960","320.390625","320.390625","320.390625"
"1081344","333.4375","333.4375","333.4375"
"1097728","342.34375","342.34375","342.34375"
"1114112","338.125","338.125","338.125"
"1130496","334.609375","334.609375","334.609375"
"1146880","332.578125","332.578125","332.578125"
"1163264","331.25","331.25","331.25"
"1179648","339.765625","339.765625","339.765625"
"1196032","338.359375","338.359375","338.359375"
"1212416","358.90625","358.90625","358.90625"
"1228800","359.375","359.375","359.375"
"1245184","359.6875","359.6875","359.6875"
"1261568","366.484375","366.484375","366.484375"
"1277952","357.5","357.5","357.5"
"1294336","348.515625","348.515625","348.515625"
"1310720","362.109375","362.109375","362.109375"
"1327104","372.8125","372.8125","372.8125"
"1343488","383.203125","383.203125","383.203125"
"1359872","372.8125","372.8125","372.8125"
"1376256","377.96875","377.96875","377.96875"
"1392640","376.875","376.875","376.875"
