vmf/direction_dim_14_hist,vmf/direction_dim_0_hist,vmf/mean_direction,vmf/direction_dim_6_hist,losses/int_value_loss,vmf/direction_dim_13_hist,charts/max_traj_len,returns/int_advantages,vmf/direction_dim_12_hist,charts/episode_return,vmf/direction_dim_11_hist,vmf/direction_dim_1_hist,charts/game_score,rewards/raw_game_rewards_min,_timestamp,rewards/rewards_mean,charts/SPS,charts/learning_rate,rewards/num_envs_with_pos_rews,charts/vmf_kappa,charts/traj_len,rewards/intrinsic_rewards_mean,rewards/raw_game_rewards_mean,charts/min_traj_len,charts/iterations,vmf/direction_dim_5_hist,returns/values_int,returns/advantages,charts/time_per_it,rewards/raw_game_rewards_max,returns/ext_advantages,losses/entropy,losses/ext_value_loss,_step,charts/returns_hist,vmf/direction_dim_3_hist,rewards/rewards_max,losses/approx_kl,vmf/direction_dim_15_hist,charts/min_game_score,losses/policy_loss,rewards/rewards_min,charts/success_rate,rewards/rewards_for_plot,vmf/direction_dim_9_hist,vmf/direction_dim_10_hist,losses/old_approx_kl,rewards/intrinsic_rewards_max,rewards/intrinsic_rewards_min,charts/e1_mu_angle,vmf/direction_dim_2_hist,losses/all_loss,_runtime,charts/max_game_score,losses/clipfrac,vmf/direction_dim_4_hist,vmf/direction_dim_7_hist,vmf/direction_dim_8_hist,returns/values_ext,returns/ret_ext,returns/ret_int
,,,,,,,,,150.0,,,,,1733524796.7482371,,,,,0.0,,,,,,,,,,,,,,57984.0,,,,,,,,,0.29,,,,,,,,,,118.489212305,,,,,,,,
,,,,,,,,,270.0,,,,,1733524843.2569323,,,,,0.0,,,,,,,,,,,,,,97920.0,,,,,,,,,0.98,,,,,,,,,,166.951260934,,,,,,,,
,,,,,,,,,170.0,,,,,1733524890.8407571,,,,,15.28250570409,,,,,,,,,,,,,,138240.0,,,,,,,,,1.0,,,,,,,,,,213.186140329,,,,,,,,
,,,,,,,,,170.0,,,,,1733525029.4645903,,,,,16.812901385128498,,,,,,,,,,,,,,253440.0,,,,,,,,,1.0,,,,,,,,,,352.146833532,,,,,,,,
,,,,,,,,,100.0,,,,,1733525088.2948298,,,,,17.732809111475945,,,,,,,,,,,,,,302208.0,,,,,,,,,1.0,,,,,,,,,,410.623269528,,,,,,,,
,,,,,,,,,300.0,,,,,1733525111.7145367,,,,,18.1989723443985,,,,,,,,,,,,,,321152.0,,,,,,,,,1.0,,,,,,,,,,433.795824863,,,,,,,,
,,,,,,,,,240.0,,,,,1733525194.817851,,,,,19.37728151679039,,,,,,,,,,,,,,391040.0,,,,,,,,,1.0,,,,,,,,,,516.589757522,,,,,,,,
,,,,,,,,,250.0,,,,,1733525194.9721713,,,,,19.37728151679039,,,,,,,,,,,,,,391168.0,,,,,,,,,1.0,,,,,,,,,,517.566684668,,,,,,,,
,,,,,,,,,340.0,,,,,1733525272.9166684,,,,,20.61309054493904,,,,,,,,,,,,,,456064.0,,,,,,,,,1.0,,,,,,,,,,594.668832078,,,,,,,,
,,,,,,,,,140.0,,,,,1733525310.218734,,,,,20.597439408302307,,,,,,,,,,,,,,486016.0,,,,,,,,,1.0,,,,,,,,,,634.061427365,,,,,,,,
