losses/all_loss,returns/int_advantages,charts/time_per_it,charts/iqm_upper,losses/clipfrac,returns/ext_advantages,losses/approx_kl,losses/int_value_loss,losses/policy_loss,losses/entropy,charts/iqm_lower,_runtime,rewards/rewards_mean,charts/iterations,returns/values_int,losses/ext_value_loss,rewards/intrinsic_rewards_mean,losses/old_approx_kl,returns/ret_int,charts/max_traj_len,losses/fwd_loss,charts/SPS,charts/game_score,returns/values_ext,returns/advantages,rewards/rewards_min,charts/iqm,charts/game_score_upper,rewards/intrinsic_rewards_min,charts/learning_rate,_timestamp,charts/traj_len,charts/game_score_lower,rewards/intrinsic_rewards_max,charts/min_traj_len,rewards/rewards_max,charts/episode_return,charts/max_game_score,charts/min_game_score,_step,returns/ret_ext,rewards/num_envs_with_pos_rews
,,,,,,,,,,,893,,,,,,,,,,,,,,,,,,,1732313121.0,,,,,,190.0,,,3456.0,,
,,,,,,,,,,,907,,,,,,,,,,,,,,,,,,,1732313135.0,,,,,,270.0,,,32640.0,,
,,,,,,,,,,,970,,,,,,,,,,,,,,,,,,,1732313198.0,,,,,,350.0,,,135040.0,,
,,,,,,,,,,,992,,,,,,,,,,,,,,,,,,,1732313220.0,,,,,,310.0,,,177152.0,,
,,,,,,,,,,,1012,,,,,,,,,,,,,,,,,,,1732313240.0,,,,,,350.0,,,209536.0,,
,,,,,,,,,,,1065,,,,,,,,,,,,,,,,,,,1732313293.0,,,,,,230.0,,,299392.0,,
,,,,,,,,,,,1074,,,,,,,,,,,,,,,,,,,1732313302.0,,,,,,270.0,,,315520.0,,
,,,,,,,,,,,1116,,,,,,,,,,,,,,,,,,,1732313344.0,,,,,,310.0,,,392192.0,,
,,,,,,,,,,,1143,,,,,,,,,,,,,,,,,,,1732313371.0,,,,,,980.0,,,438912.0,,
,,,,,,,,,,,1257,,,,,,,,,,,,,,,,,,,1732313485.0,,,,,,200.0,,,637056.0,,
,,,,,,,,,,,1267,,,,,,,,,,,,,,,,,,,1732313495.0,,,,,,180.0,,,655232.0,,
,,,,,,,,,,,1274,,,,,,,,,,,,,,,,,,,1732313502.0,,,,,,350.0,,,662656.0,,
,,,,,,,,,,,1304,,,,,,,,,,,,,,,,,,,1732313532.0,,,,,,270.0,,,716672.0,,
0.14140576124191284,-0.0207538940012455,9.529154539108276,0.007723843823823532,0.069580078125,-0.022855248302221298,0.0024481844156980515,0.004286116920411587,-0.0018204264342784882,2.539015769958496,0.004757315323410483,1319,0.0031624615658074617,45.0,1.2115697860717773,0.008568232879042625,0.010828816331923008,0.003910605330020189,1.1908156871795654,1230.0,0.13933803141117096,562.0,276.71875,0.5945720672607422,-0.0664643943309784,0.0,0.006229256945752836,286.328125,0.001306234858930111,0.0001,1732313547.0,597.96875,267.185546875,0.36067166924476624,0.0,0.07328680157661438,,420.0,0.0,737280.0,0.5717167854309082,109.0
,,,,,,,,,,,1352,,,,,,,,,,,,,,,,,,,1732313580.0,,,,,,300.0,,,799616.0,,
,,,,,,,,,,,1397,,,,,,,,,,,,,,,,,,,1732313625.0,,,,,,210.0,,,875520.0,,
,,,,,,,,,,,1520,,,,,,,,,,,,,,,,,,,1732313748.0,,,,,,280.0,,,1087104.0,,
,,,,,,,,,,,1533,,,,,,,,,,,,,,,,,,,1732313761.0,,,,,,390.0,,,1113728.0,,
,,,,,,,,,,,1548,,,,,,,,,,,,,,,,,,,1732313776.0,,,,,,370.0,,,1136896.0,,
,,,,,,,,,,,1575,,,,,,,,,,,,,,,,,,,1732313803.0,,,,,,250.0,,,1181952.0,,
,,,,,,,,,,,1631,,,,,,,,,,,,,,,,,,,1732313859.0,,,,,,190.0,,,1278464.0,,
