"Step","Score","StarGunner-v5__ppo_noisy_net - charts/game_score__MIN","StarGunner-v5__ppo_noisy_net - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","200","200","200"
"65536","300","300","300"
"81920","384.2105407714844","384.2105407714844","384.2105407714844"
"98304","456.4102478027344","456.4102478027344","456.4102478027344"
"114688","503.7037048339844","503.7037048339844","503.7037048339844"
"131072","539.1304321289062","539.1304321289062","539.1304321289062"
"147456","562.5","562.5","562.5"
"163840","576.8421020507812","576.8421020507812","576.8421020507812"
"180224","598.2301025390625","598.2301025390625","598.2301025390625"
"196608","603.3057861328125","603.3057861328125","603.3057861328125"
"212992","594.53125","594.53125","594.53125"
"229376","646.09375","646.09375","646.09375"
"245760","653.90625","653.90625","653.90625"
"262144","642.1875","642.1875","642.1875"
"278528","645.3125","645.3125","645.3125"
"294912","637.5","637.5","637.5"
"311296","622.65625","622.65625","622.65625"
"327680","632.03125","632.03125","632.03125"
"344064","642.1875","642.1875","642.1875"
"360448","631.25","631.25","631.25"
"376832","637.5","637.5","637.5"
"393216","636.71875","636.71875","636.71875"
"409600","642.1875","642.1875","642.1875"
"425984","642.1875","642.1875","642.1875"
"442368","631.25","631.25","631.25"
"458752","633.59375","633.59375","633.59375"
"475136","607.8125","607.8125","607.8125"
"491520","610.15625","610.15625","610.15625"
"507904","595.3125","595.3125","595.3125"
"524288","585.15625","585.15625","585.15625"
"540672","585.9375","585.9375","585.9375"
"557056","594.53125","594.53125","594.53125"
"573440","590.625","590.625","590.625"
"589824","596.875","596.875","596.875"
"606208","582.8125","582.8125","582.8125"
"622592","578.90625","578.90625","578.90625"
"638976","578.90625","578.90625","578.90625"
"655360","580.46875","580.46875","580.46875"
"671744","569.53125","569.53125","569.53125"
"688128","560.9375","560.9375","560.9375"
"704512","557.03125","557.03125","557.03125"
"720896","564.84375","564.84375","564.84375"
"737280","584.375","584.375","584.375"
"753664","596.09375","596.09375","596.09375"
"770048","618.75","618.75","618.75"
"786432","626.5625","626.5625","626.5625"
"802816","653.90625","653.90625","653.90625"
"819200","687.5","687.5","687.5"
"835584","706.25","706.25","706.25"
"851968","705.46875","705.46875","705.46875"
"868352","749.21875","749.21875","749.21875"
"884736","786.71875","786.71875","786.71875"
"901120","839.0625","839.0625","839.0625"
"917504","885.15625","885.15625","885.15625"
"933888","911.71875","911.71875","911.71875"
"950272","966.40625","966.40625","966.40625"
"966656","995.3125","995.3125","995.3125"
"983040","1021.09375","1021.09375","1021.09375"
"999424","1024.21875","1024.21875","1024.21875"
"1015808","1050","1050","1050"
"1032192","1068.75","1068.75","1068.75"
"1048576","1060.15625","1060.15625","1060.15625"
"1064960","1085.15625","1085.15625","1085.15625"
"1081344","1105.46875","1105.46875","1105.46875"
"1097728","1094.53125","1094.53125","1094.53125"
"1114112","1106.25","1106.25","1106.25"
"1130496","1107.03125","1107.03125","1107.03125"
"1146880","1132.03125","1132.03125","1132.03125"
"1163264","1107.03125","1107.03125","1107.03125"
"1179648","1149.21875","1149.21875","1149.21875"
"1196032","1147.65625","1147.65625","1147.65625"
"1212416","1132.8125","1132.8125","1132.8125"
"1228800","1155.46875","1155.46875","1155.46875"
"1245184","1173.4375","1173.4375","1173.4375"
"1261568","1170.3125","1170.3125","1170.3125"
"1277952","1169.53125","1169.53125","1169.53125"
"1294336","1193.75","1193.75","1193.75"
"1310720","1182.03125","1182.03125","1182.03125"
"1327104","1185.9375","1185.9375","1185.9375"
"1343488","1184.375","1184.375","1184.375"
