"Step","Score","StarGunner-v5__ppo - charts/game_score__MIN","StarGunner-v5__ppo - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","400","400","400"
"65536","200","200","200"
"81920","409.0909118652344","409.0909118652344","409.0909118652344"
"98304","475.862060546875","475.862060546875","475.862060546875"
"114688","525.6410522460938","525.6410522460938","525.6410522460938"
"131072","545.4545288085938","545.4545288085938","545.4545288085938"
"147456","579.2207641601562","579.2207641601562","579.2207641601562"
"163840","607.6190185546875","607.6190185546875","607.6190185546875"
"180224","605.26318359375","605.26318359375","605.26318359375"
"196608","621.4285888671875","621.4285888671875","621.4285888671875"
"212992","628.90625","628.90625","628.90625"
"229376","649.21875","649.21875","649.21875"
"245760","646.875","646.875","646.875"
"262144","675","675","675"
"278528","691.40625","691.40625","691.40625"
"294912","689.84375","689.84375","689.84375"
"311296","689.0625","689.0625","689.0625"
"327680","705.46875","705.46875","705.46875"
"344064","735.15625","735.15625","735.15625"
"360448","740.625","740.625","740.625"
"376832","746.875","746.875","746.875"
"393216","746.09375","746.09375","746.09375"
"409600","742.1875","742.1875","742.1875"
"425984","755.46875","755.46875","755.46875"
"442368","759.375","759.375","759.375"
"458752","764.84375","764.84375","764.84375"
"475136","753.90625","753.90625","753.90625"
"491520","743.75","743.75","743.75"
"507904","729.6875","729.6875","729.6875"
"524288","734.375","734.375","734.375"
"540672","744.53125","744.53125","744.53125"
"557056","761.71875","761.71875","761.71875"
"573440","771.09375","771.09375","771.09375"
"589824","764.84375","764.84375","764.84375"
"606208","763.28125","763.28125","763.28125"
"622592","760.15625","760.15625","760.15625"
"638976","780.46875","780.46875","780.46875"
"655360","766.40625","766.40625","766.40625"
"671744","757.03125","757.03125","757.03125"
"688128","746.875","746.875","746.875"
"704512","760.9375","760.9375","760.9375"
"720896","745.3125","745.3125","745.3125"
"737280","764.0625","764.0625","764.0625"
"753664","800","800","800"
"770048","813.28125","813.28125","813.28125"
"786432","825.78125","825.78125","825.78125"
"802816","832.03125","832.03125","832.03125"
"819200","846.875","846.875","846.875"
"835584","867.1875","867.1875","867.1875"
"851968","877.34375","877.34375","877.34375"
"868352","876.5625","876.5625","876.5625"
"884736","898.4375","898.4375","898.4375"
"901120","900.78125","900.78125","900.78125"
"917504","932.03125","932.03125","932.03125"
"933888","960.15625","960.15625","960.15625"
"950272","964.0625","964.0625","964.0625"
"966656","971.09375","971.09375","971.09375"
"983040","978.90625","978.90625","978.90625"
"999424","1007.03125","1007.03125","1007.03125"
"1015808","1005.46875","1005.46875","1005.46875"
"1032192","1023.4375","1023.4375","1023.4375"
"1048576","1056.25","1056.25","1056.25"
"1064960","1064.84375","1064.84375","1064.84375"
"1081344","1064.0625","1064.0625","1064.0625"
"1097728","1074.21875","1074.21875","1074.21875"
"1114112","1097.65625","1097.65625","1097.65625"
"1130496","1127.34375","1127.34375","1127.34375"
"1146880","1131.25","1131.25","1131.25"
"1163264","1164.0625","1164.0625","1164.0625"
"1179648","1170.3125","1170.3125","1170.3125"
"1196032","1160.15625","1160.15625","1160.15625"
"1212416","1146.09375","1146.09375","1146.09375"
"1228800","1136.71875","1136.71875","1136.71875"
"1245184","1173.4375","1173.4375","1173.4375"
"1261568","1155.46875","1155.46875","1155.46875"
"1277952","1185.15625","1185.15625","1185.15625"
"1294336","1233.59375","1233.59375","1233.59375"
"1310720","1272.65625","1272.65625","1272.65625"
"1327104","1285.9375","1285.9375","1285.9375"
"1343488","1282.03125","1282.03125","1282.03125"
