"Step","Score","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MIN","StarGunner-v5__ppo_rle_SwitchStep500 - charts/game_score__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","800","800","800"
"65536","518.1818237304688","518.1818237304688","518.1818237304688"
"81920","555.1724243164062","555.1724243164062","555.1724243164062"
"98304","579.0697631835938","579.0697631835938","579.0697631835938"
"114688","611.4754028320312","611.4754028320312","611.4754028320312"
"131072","610.5263061523438","610.5263061523438","610.5263061523438"
"147456","607.368408203125","607.368408203125","607.368408203125"
"163840","624.299072265625","624.299072265625","624.299072265625"
"180224","623.3333129882812","623.3333129882812","623.3333129882812"
"196608","616.40625","616.40625","616.40625"
"212992","614.0625","614.0625","614.0625"
"229376","629.6875","629.6875","629.6875"
"245760","614.84375","614.84375","614.84375"
"262144","622.65625","622.65625","622.65625"
"278528","621.09375","621.09375","621.09375"
"294912","610.9375","610.9375","610.9375"
"311296","607.03125","607.03125","607.03125"
"327680","610.15625","610.15625","610.15625"
"344064","622.65625","622.65625","622.65625"
"360448","607.03125","607.03125","607.03125"
"376832","617.1875","617.1875","617.1875"
"393216","631.25","631.25","631.25"
"409600","638.28125","638.28125","638.28125"
"425984","664.0625","664.0625","664.0625"
"442368","677.34375","677.34375","677.34375"
"458752","747.65625","747.65625","747.65625"
"475136","821.875","821.875","821.875"
"491520","847.65625","847.65625","847.65625"
"507904","872.65625","872.65625","872.65625"
"524288","898.4375","898.4375","898.4375"
"540672","927.34375","927.34375","927.34375"
"557056","953.90625","953.90625","953.90625"
"573440","982.03125","982.03125","982.03125"
"589824","982.8125","982.8125","982.8125"
"606208","1007.03125","1007.03125","1007.03125"
"622592","1043.75","1043.75","1043.75"
"638976","1010.9375","1010.9375","1010.9375"
"655360","1013.28125","1013.28125","1013.28125"
"671744","986.71875","986.71875","986.71875"
"688128","970.3125","970.3125","970.3125"
"704512","983.59375","983.59375","983.59375"
"720896","988.28125","988.28125","988.28125"
"737280","998.4375","998.4375","998.4375"
"753664","1011.71875","1011.71875","1011.71875"
"770048","1042.96875","1042.96875","1042.96875"
"786432","1059.375","1059.375","1059.375"
"802816","1064.0625","1064.0625","1064.0625"
"819200","1048.4375","1048.4375","1048.4375"
"835584","1076.5625","1076.5625","1076.5625"
"851968","1100","1100","1100"
"868352","1106.25","1106.25","1106.25"
"884736","1088.28125","1088.28125","1088.28125"
"901120","1106.25","1106.25","1106.25"
"917504","1100","1100","1100"
"933888","1157.8125","1157.8125","1157.8125"
"950272","1153.125","1153.125","1153.125"
"966656","1177.34375","1177.34375","1177.34375"
"983040","1179.6875","1179.6875","1179.6875"
"999424","1180.46875","1180.46875","1180.46875"
"1015808","1174.21875","1174.21875","1174.21875"
"1032192","1167.1875","1167.1875","1167.1875"
"1048576","1164.84375","1164.84375","1164.84375"
"1064960","1169.53125","1169.53125","1169.53125"
"1081344","1150","1150","1150"
"1097728","1135.9375","1135.9375","1135.9375"
"1114112","1150.78125","1150.78125","1150.78125"
"1130496","1184.375","1184.375","1184.375"
"1146880","1197.65625","1197.65625","1197.65625"
"1163264","1183.59375","1183.59375","1183.59375"
"1179648","1166.40625","1166.40625","1166.40625"
"1196032","1195.3125","1195.3125","1195.3125"
"1212416","1192.96875","1192.96875","1192.96875"
"1228800","1253.90625","1253.90625","1253.90625"
"1245184","1251.5625","1251.5625","1251.5625"
"1261568","1271.09375","1271.09375","1271.09375"
"1277952","1264.0625","1264.0625","1264.0625"
"1294336","1292.1875","1292.1875","1292.1875"
