"Step","Score","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MIN","StarGunner-v5__ppo_rnd_envpool - charts/game_score__MAX"
"16384","664.2857055664062","664.2857055664062","664.2857055664062"
"32768","726.923095703125","726.923095703125","726.923095703125"
"49152","697.2973022460938","697.2973022460938","697.2973022460938"
"65536","730","730","730"
"81920","743.478271484375","743.478271484375","743.478271484375"
"98304","715.2941284179688","715.2941284179688","715.2941284179688"
"114688","711.4583129882812","711.4583129882812","711.4583129882812"
"131072","724.137939453125","724.137939453125","724.137939453125"
"147456","726.5625","726.5625","726.5625"
"163840","719.53125","719.53125","719.53125"
"180224","686.71875","686.71875","686.71875"
"196608","652.34375","652.34375","652.34375"
"212992","645.3125","645.3125","645.3125"
"229376","627.34375","627.34375","627.34375"
"245760","619.53125","619.53125","619.53125"
"262144","600.78125","600.78125","600.78125"
"278528","603.125","603.125","603.125"
"294912","573.4375","573.4375","573.4375"
"311296","579.6875","579.6875","579.6875"
"327680","590.625","590.625","590.625"
"344064","589.84375","589.84375","589.84375"
"360448","602.34375","602.34375","602.34375"
"376832","596.875","596.875","596.875"
"393216","595.3125","595.3125","595.3125"
"409600","600.78125","600.78125","600.78125"
"425984","562.5","562.5","562.5"
"442368","567.1875","567.1875","567.1875"
"458752","552.34375","552.34375","552.34375"
"475136","537.5","537.5","537.5"
"491520","540.625","540.625","540.625"
"507904","567.1875","567.1875","567.1875"
"524288","583.59375","583.59375","583.59375"
"540672","585.15625","585.15625","585.15625"
"557056","607.03125","607.03125","607.03125"
"573440","624.21875","624.21875","624.21875"
"589824","642.96875","642.96875","642.96875"
"606208","649.21875","649.21875","649.21875"
"622592","658.59375","658.59375","658.59375"
"638976","669.53125","669.53125","669.53125"
"655360","659.375","659.375","659.375"
"671744","638.28125","638.28125","638.28125"
"688128","641.40625","641.40625","641.40625"
"704512","633.59375","633.59375","633.59375"
"720896","630.46875","630.46875","630.46875"
"737280","620.3125","620.3125","620.3125"
"753664","617.1875","617.1875","617.1875"
"770048","614.0625","614.0625","614.0625"
"786432","602.34375","602.34375","602.34375"
"802816","609.375","609.375","609.375"
"819200","600","600","600"
"835584","589.84375","589.84375","589.84375"
"851968","585.15625","585.15625","585.15625"
"868352","565.625","565.625","565.625"
"884736","555.46875","555.46875","555.46875"
"901120","556.25","556.25","556.25"
"917504","560.15625","560.15625","560.15625"
"933888","567.1875","567.1875","567.1875"
"950272","561.71875","561.71875","561.71875"
"966656","572.65625","572.65625","572.65625"
"983040","588.28125","588.28125","588.28125"
"999424","597.65625","597.65625","597.65625"
"1015808","632.03125","632.03125","632.03125"
"1032192","635.15625","635.15625","635.15625"
"1048576","642.96875","642.96875","642.96875"
"1064960","655.46875","655.46875","655.46875"
"1081344","654.6875","654.6875","654.6875"
"1097728","650","650","650"
"1114112","657.8125","657.8125","657.8125"
"1130496","659.375","659.375","659.375"
"1146880","650","650","650"
"1163264","650","650","650"
"1179648","647.65625","647.65625","647.65625"
"1196032","640.625","640.625","640.625"
"1212416","630.46875","630.46875","630.46875"
"1228800","613.28125","613.28125","613.28125"
"1245184","620.3125","620.3125","620.3125"
"1261568","619.53125","619.53125","619.53125"
"1277952","608.59375","608.59375","608.59375"
"1294336","614.0625","614.0625","614.0625"
"1310720","610.15625","610.15625","610.15625"
"1327104","615.625","615.625","615.625"
"1343488","625.78125","625.78125","625.78125"
"1359872","655.46875","655.46875","655.46875"
"1376256","648.4375","648.4375","648.4375"
"1392640","656.25","656.25","656.25"
"1409024","664.0625","664.0625","664.0625"
"1425408","658.59375","658.59375","658.59375"
"1441792","654.6875","654.6875","654.6875"
"1458176","677.34375","677.34375","677.34375"
"1474560","736.71875","736.71875","736.71875"
"1490944","733.59375","733.59375","733.59375"
"1507328","721.875","721.875","721.875"
"1523712","750.78125","750.78125","750.78125"
"1540096","764.84375","764.84375","764.84375"
"1556480","760.15625","760.15625","760.15625"
"1572864","761.71875","761.71875","761.71875"
"1589248","764.84375","764.84375","764.84375"
"1605632","754.6875","754.6875","754.6875"
"1622016","742.1875","742.1875","742.1875"
"1638400","767.1875","767.1875","767.1875"
"1654784","804.6875","804.6875","804.6875"
"1671168","783.59375","783.59375","783.59375"
"1687552","800","800","800"
"1703936","835.15625","835.15625","835.15625"
"1720320","882.03125","882.03125","882.03125"
"1736704","892.96875","892.96875","892.96875"
"1753088","859.375","859.375","859.375"
"1769472","853.90625","853.90625","853.90625"
"1785856","820.3125","820.3125","820.3125"
"1802240","812.5","812.5","812.5"
"1818624","800","800","800"
"1835008","788.28125","788.28125","788.28125"
"1851392","771.875","771.875","771.875"
"1867776","744.53125","744.53125","744.53125"
"1884160","754.6875","754.6875","754.6875"
"1900544","754.6875","754.6875","754.6875"
"1916928","747.65625","747.65625","747.65625"
"1933312","753.125","753.125","753.125"
"1949696","757.03125","757.03125","757.03125"
"1966080","748.4375","748.4375","748.4375"
"1982464","778.125","778.125","778.125"
"1998848","792.96875","792.96875","792.96875"
"2015232","807.03125","807.03125","807.03125"
"2031616","800","800","800"
"2048000","807.03125","807.03125","807.03125"
"2064384","835.15625","835.15625","835.15625"
"2080768","836.71875","836.71875","836.71875"
"2097152","875.78125","875.78125","875.78125"
"2113536","866.40625","866.40625","866.40625"
"2129920","877.34375","877.34375","877.34375"
"2146304","893.75","893.75","893.75"
"2162688","902.34375","902.34375","902.34375"
"2179072","921.09375","921.09375","921.09375"
"2195456","941.40625","941.40625","941.40625"
"2211840","958.59375","958.59375","958.59375"
"2228224","951.5625","951.5625","951.5625"
"2244608","951.5625","951.5625","951.5625"
"2260992","943.75","943.75","943.75"
"2277376","946.09375","946.09375","946.09375"
"2293760","960.15625","960.15625","960.15625"
"2310144","962.5","962.5","962.5"
"2326528","950.78125","950.78125","950.78125"
"2342912","959.375","959.375","959.375"
"2359296","1001.5625","1001.5625","1001.5625"
"2375680","1030.46875","1030.46875","1030.46875"
"2392064","1038.28125","1038.28125","1038.28125"
"2408448","1037.5","1037.5","1037.5"
"2424832","1045.3125","1045.3125","1045.3125"
"2441216","1054.6875","1054.6875","1054.6875"
"2457600","1072.65625","1072.65625","1072.65625"
"2473984","1092.96875","1092.96875","1092.96875"
"2490368","1077.34375","1077.34375","1077.34375"
"2506752","1128.90625","1128.90625","1128.90625"
"2523136","1111.71875","1111.71875","1111.71875"
"2539520","1132.8125","1132.8125","1132.8125"
"2555904","1135.15625","1135.15625","1135.15625"
"2572288","1160.15625","1160.15625","1160.15625"
"2588672","1132.03125","1132.03125","1132.03125"
"2605056","1178.90625","1178.90625","1178.90625"
"2621440","1157.03125","1157.03125","1157.03125"
"2637824","1186.71875","1186.71875","1186.71875"
"2654208","1216.40625","1216.40625","1216.40625"
"2670592","1267.1875","1267.1875","1267.1875"
"2686976","1273.4375","1273.4375","1273.4375"
"2703360","1292.96875","1292.96875","1292.96875"
"2719744","1297.65625","1297.65625","1297.65625"
"2736128","1266.40625","1266.40625","1266.40625"
"2752512","1332.03125","1332.03125","1332.03125"
"2768896","1293.75","1293.75","1293.75"
"2785280","1304.6875","1304.6875","1304.6875"
"2801664","1273.4375","1273.4375","1273.4375"
"2818048","1265.625","1265.625","1265.625"
"2834432","1256.25","1256.25","1256.25"
"2850816","1287.5","1287.5","1287.5"
"2867200","1306.25","1306.25","1306.25"
"2883584","1280.46875","1280.46875","1280.46875"
"2899968","1308.59375","1308.59375","1308.59375"
"2916352","1316.40625","1316.40625","1316.40625"
"2932736","1295.3125","1295.3125","1295.3125"
"2949120","1311.71875","1311.71875","1311.71875"
"2965504","1315.625","1315.625","1315.625"
"2981888","1350","1350","1350"
"2998272","1370.3125","1370.3125","1370.3125"
"3014656","1319.53125","1319.53125","1319.53125"
"3031040","1286.71875","1286.71875","1286.71875"
"3047424","1336.71875","1336.71875","1336.71875"
"3063808","1321.875","1321.875","1321.875"
"3080192","1314.84375","1314.84375","1314.84375"
"3096576","1321.09375","1321.09375","1321.09375"
"3112960","1302.34375","1302.34375","1302.34375"
"3129344","1298.4375","1298.4375","1298.4375"
"3145728","1303.125","1303.125","1303.125"
"3162112","1362.5","1362.5","1362.5"
"3178496","1346.09375","1346.09375","1346.09375"
"3194880","1370.3125","1370.3125","1370.3125"
"3211264","1390.625","1390.625","1390.625"
"3227648","1371.875","1371.875","1371.875"
"3244032","1355.46875","1355.46875","1355.46875"
"3260416","1384.375","1384.375","1384.375"
"3276800","1356.25","1356.25","1356.25"
"3293184","1345.3125","1345.3125","1345.3125"
"3309568","1305.46875","1305.46875","1305.46875"
"3325952","1330.46875","1330.46875","1330.46875"
"3342336","1335.9375","1335.9375","1335.9375"
"3358720","1337.5","1337.5","1337.5"
"3375104","1326.5625","1326.5625","1326.5625"
"3391488","1298.4375","1298.4375","1298.4375"
"3407872","1312.5","1312.5","1312.5"
"3424256","1339.84375","1339.84375","1339.84375"
"3440640","1348.4375","1348.4375","1348.4375"
"3457024","1316.40625","1316.40625","1316.40625"
"3473408","1310.15625","1310.15625","1310.15625"
"3489792","1350.78125","1350.78125","1350.78125"
"3506176","1417.1875","1417.1875","1417.1875"
"3522560","1408.59375","1408.59375","1408.59375"
"3538944","1378.125","1378.125","1378.125"
"3555328","1389.0625","1389.0625","1389.0625"
"3571712","1432.8125","1432.8125","1432.8125"
"3588096","1450","1450","1450"
"3604480","1522.65625","1522.65625","1522.65625"
"3620864","1510.15625","1510.15625","1510.15625"
"3637248","1522.65625","1522.65625","1522.65625"
"3653632","1542.1875","1542.1875","1542.1875"
"3670016","1542.1875","1542.1875","1542.1875"
"3686400","1512.5","1512.5","1512.5"
"3702784","1523.4375","1523.4375","1523.4375"
"3719168","1514.84375","1514.84375","1514.84375"
"3735552","1499.21875","1499.21875","1499.21875"
"3751936","1497.65625","1497.65625","1497.65625"
"3768320","1510.15625","1510.15625","1510.15625"
"3784704","1494.53125","1494.53125","1494.53125"
"3801088","1464.84375","1464.84375","1464.84375"
"3817472","1468.75","1468.75","1468.75"
"3833856","1558.59375","1558.59375","1558.59375"
"3850240","1612.5","1612.5","1612.5"
"3866624","1632.03125","1632.03125","1632.03125"
