"Step","TrajLen","StarGunner-v5__ppo_noisy_net - charts/traj_len__MIN","StarGunner-v5__ppo_noisy_net - charts/traj_len__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","383","383","383"
"65536","420.2","420.2","420.2"
"81920","539.5263157894736","539.5263157894736","539.5263157894736"
"98304","633.8717948717949","633.8717948717949","633.8717948717949"
"114688","685.3703703703703","685.3703703703703","685.3703703703703"
"131072","737.7971014492754","737.7971014492754","737.7971014492754"
"147456","787.3375","787.3375","787.3375"
"163840","835.2421052631579","835.2421052631579","835.2421052631579"
"180224","875.3982300884956","875.3982300884956","875.3982300884956"
"196608","893.6115702479339","893.6115702479339","893.6115702479339"
"212992","908.359375","908.359375","908.359375"
"229376","1010.0078125","1010.0078125","1010.0078125"
"245760","1085.5859375","1085.5859375","1085.5859375"
"262144","1091.4921875","1091.4921875","1091.4921875"
"278528","1132.3359375","1132.3359375","1132.3359375"
"294912","1153","1153","1153"
"311296","1132.390625","1132.390625","1132.390625"
"327680","1136.71875","1136.71875","1136.71875"
"344064","1158.1328125","1158.1328125","1158.1328125"
"360448","1143.8515625","1143.8515625","1143.8515625"
"376832","1112.453125","1112.453125","1112.453125"
"393216","1105.6640625","1105.6640625","1105.6640625"
"409600","1106.2109375","1106.2109375","1106.2109375"
"425984","1084.34375","1084.34375","1084.34375"
"442368","1063.5078125","1063.5078125","1063.5078125"
"458752","1105.4765625","1105.4765625","1105.4765625"
"475136","1091.03125","1091.03125","1091.03125"
"491520","1077.90625","1077.90625","1077.90625"
"507904","1080.2734375","1080.2734375","1080.2734375"
"524288","1097.1015625","1097.1015625","1097.1015625"
"540672","1111.3203125","1111.3203125","1111.3203125"
"557056","1104.7265625","1104.7265625","1104.7265625"
"573440","1108.5703125","1108.5703125","1108.5703125"
"589824","1125.8203125","1125.8203125","1125.8203125"
"606208","1097.5078125","1097.5078125","1097.5078125"
"622592","1082.5","1082.5","1082.5"
"638976","1156.8359375","1156.8359375","1156.8359375"
"655360","1155.21875","1155.21875","1155.21875"
"671744","1155.6875","1155.6875","1155.6875"
"688128","1151.671875","1151.671875","1151.671875"
"704512","1129.6953125","1129.6953125","1129.6953125"
"720896","1133.109375","1133.109375","1133.109375"
"737280","1133.34375","1133.34375","1133.34375"
"753664","1158.3125","1158.3125","1158.3125"
"770048","1112.625","1112.625","1112.625"
"786432","1098.75","1098.75","1098.75"
"802816","1080.5703125","1080.5703125","1080.5703125"
"819200","1061.9609375","1061.9609375","1061.9609375"
"835584","1084.7890625","1084.7890625","1084.7890625"
"851968","1015.203125","1015.203125","1015.203125"
"868352","1000.0625","1000.0625","1000.0625"
"884736","989.5078125","989.5078125","989.5078125"
"901120","948.0625","948.0625","948.0625"
"917504","937.7890625","937.7890625","937.7890625"
"933888","883.3671875","883.3671875","883.3671875"
"950272","878.7890625","878.7890625","878.7890625"
"966656","837.6328125","837.6328125","837.6328125"
"983040","803.5546875","803.5546875","803.5546875"
"999424","764.484375","764.484375","764.484375"
"1015808","754.171875","754.171875","754.171875"
"1032192","774.8203125","774.8203125","774.8203125"
"1048576","757.625","757.625","757.625"
"1064960","758.96875","758.96875","758.96875"
"1081344","748.4609375","748.4609375","748.4609375"
"1097728","688.78125","688.78125","688.78125"
"1114112","678.953125","678.953125","678.953125"
"1130496","660.1484375","660.1484375","660.1484375"
"1146880","657.5234375","657.5234375","657.5234375"
"1163264","654.2109375","654.2109375","654.2109375"
"1179648","677.828125","677.828125","677.828125"
"1196032","690.9765625","690.9765625","690.9765625"
