"Step","TrajLen","StarGunner-v5__ppo - charts/traj_len__MIN","StarGunner-v5__ppo - charts/traj_len__MAX"
"16384","NaN","",""
"32768","NaN","",""
"49152","374","374","374"
"65536","431","431","431"
"81920","537.0909090909091","537.0909090909091","537.0909090909091"
"98304","636.6206896551724","636.6206896551724","636.6206896551724"
"114688","692.3076923076923","692.3076923076923","692.3076923076923"
"131072","769.8909090909091","769.8909090909091","769.8909090909091"
"147456","854.5714285714286","854.5714285714286","854.5714285714286"
"163840","921.1142857142858","921.1142857142858","921.1142857142858"
"180224","940.6929824561404","940.6929824561404","940.6929824561404"
"196608","970.015873015873","970.015873015873","970.015873015873"
"212992","1008.4375","1008.4375","1008.4375"
"229376","1038.6953125","1038.6953125","1038.6953125"
"245760","1062.3828125","1062.3828125","1062.3828125"
"262144","1075.6640625","1075.6640625","1075.6640625"
"278528","1081.453125","1081.453125","1081.453125"
"294912","1099.4609375","1099.4609375","1099.4609375"
"311296","1099.9375","1099.9375","1099.9375"
"327680","1108.3203125","1108.3203125","1108.3203125"
"344064","1124.375","1124.375","1124.375"
"360448","1123.4375","1123.4375","1123.4375"
"376832","1104.9375","1104.9375","1104.9375"
"393216","1125.6875","1125.6875","1125.6875"
"409600","1108.1953125","1108.1953125","1108.1953125"
"425984","1089.96875","1089.96875","1089.96875"
"442368","1084.2734375","1084.2734375","1084.2734375"
"458752","1044.828125","1044.828125","1044.828125"
"475136","1031","1031","1031"
"491520","1020.578125","1020.578125","1020.578125"
"507904","1014.65625","1014.65625","1014.65625"
"524288","1008.9453125","1008.9453125","1008.9453125"
"540672","1008.4609375","1008.4609375","1008.4609375"
"557056","1022.296875","1022.296875","1022.296875"
"573440","1026.0703125","1026.0703125","1026.0703125"
"589824","1026.46875","1026.46875","1026.46875"
"606208","1037.640625","1037.640625","1037.640625"
"622592","1037.84375","1037.84375","1037.84375"
"638976","1059.5859375","1059.5859375","1059.5859375"
"655360","1045.890625","1045.890625","1045.890625"
"671744","1021.21875","1021.21875","1021.21875"
"688128","1010.5","1010.5","1010.5"
"704512","1012.0390625","1012.0390625","1012.0390625"
"720896","978.203125","978.203125","978.203125"
"737280","958.484375","958.484375","958.484375"
"753664","967","967","967"
"770048","939.5859375","939.5859375","939.5859375"
"786432","969.4765625","969.4765625","969.4765625"
"802816","953.3828125","953.3828125","953.3828125"
"819200","956.765625","956.765625","956.765625"
"835584","947.90625","947.90625","947.90625"
"851968","920.96875","920.96875","920.96875"
"868352","886.5703125","886.5703125","886.5703125"
"884736","832.890625","832.890625","832.890625"
"901120","816.28125","816.28125","816.28125"
"917504","774.5625","774.5625","774.5625"
"933888","759.640625","759.640625","759.640625"
"950272","751.6171875","751.6171875","751.6171875"
"966656","741.0546875","741.0546875","741.0546875"
"983040","729.921875","729.921875","729.921875"
"999424","737.1171875","737.1171875","737.1171875"
"1015808","720.5859375","720.5859375","720.5859375"
"1032192","723.8671875","723.8671875","723.8671875"
"1048576","727.046875","727.046875","727.046875"
"1064960","724.9453125","724.9453125","724.9453125"
"1081344","715.4296875","715.4296875","715.4296875"
"1097728","722.8125","722.8125","722.8125"
"1114112","743.625","743.625","743.625"
"1130496","741.1796875","741.1796875","741.1796875"
"1146880","730.703125","730.703125","730.703125"
"1163264","741.7265625","741.7265625","741.7265625"
"1179648","745.3203125","745.3203125","745.3203125"
"1196032","739.125","739.125","739.125"
"1212416","732.4140625","732.4140625","732.4140625"
"1228800","733.2734375","733.2734375","733.2734375"
"1245184","763.7421875","763.7421875","763.7421875"
