"Step","TrajLen","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MIN","StarGunner-v5__ppo_rnd_envpool - charts/traj_len__MAX"
"16384","1000.2857142857143","1000.2857142857143","1000.2857142857143"
"32768","1127","1127","1127"
"49152","1083.1081081081081","1083.1081081081081","1083.1081081081081"
"65536","1109.26","1109.26","1109.26"
"81920","1133.9565217391305","1133.9565217391305","1133.9565217391305"
"98304","1112.6117647058823","1112.6117647058823","1112.6117647058823"
"114688","1120.90625","1120.90625","1120.90625"
"131072","1107.5344827586207","1107.5344827586207","1107.5344827586207"
"147456","1126.7109375","1126.7109375","1126.7109375"
"163840","1132.2265625","1132.2265625","1132.2265625"
"180224","1108.421875","1108.421875","1108.421875"
"196608","1103.609375","1103.609375","1103.609375"
"212992","1084.3515625","1084.3515625","1084.3515625"
"229376","1101.34375","1101.34375","1101.34375"
"245760","1115.75","1115.75","1115.75"
"262144","1103.390625","1103.390625","1103.390625"
"278528","1143.9765625","1143.9765625","1143.9765625"
"294912","1151.625","1151.625","1151.625"
"311296","1151.8515625","1151.8515625","1151.8515625"
"327680","1167.2109375","1167.2109375","1167.2109375"
"344064","1171.875","1171.875","1171.875"
"360448","1189.90625","1189.90625","1189.90625"
"376832","1162.5859375","1162.5859375","1162.5859375"
"393216","1162.4453125","1162.4453125","1162.4453125"
"409600","1174.15625","1174.15625","1174.15625"
"425984","1151.5078125","1151.5078125","1151.5078125"
"442368","1148.1015625","1148.1015625","1148.1015625"
"458752","1151.296875","1151.296875","1151.296875"
"475136","1165.9609375","1165.9609375","1165.9609375"
"491520","1166.1328125","1166.1328125","1166.1328125"
"507904","1196.5625","1196.5625","1196.5625"
"524288","1204.90625","1204.90625","1204.90625"
"540672","1210.734375","1210.734375","1210.734375"
"557056","1195.7734375","1195.7734375","1195.7734375"
"573440","1212.8984375","1212.8984375","1212.8984375"
"589824","1240.703125","1240.703125","1240.703125"
"606208","1226.421875","1226.421875","1226.421875"
"622592","1171.4296875","1171.4296875","1171.4296875"
"638976","1168.6796875","1168.6796875","1168.6796875"
"655360","1166.6484375","1166.6484375","1166.6484375"
"671744","1127.4453125","1127.4453125","1127.4453125"
"688128","1129.734375","1129.734375","1129.734375"
"704512","1129.3046875","1129.3046875","1129.3046875"
"720896","1124.75","1124.75","1124.75"
"737280","1105.2578125","1105.2578125","1105.2578125"
"753664","1096.9921875","1096.9921875","1096.9921875"
"770048","1117.8125","1117.8125","1117.8125"
"786432","1114.9765625","1114.9765625","1114.9765625"
"802816","1147.5859375","1147.5859375","1147.5859375"
"819200","1175.6015625","1175.6015625","1175.6015625"
"835584","1194.1484375","1194.1484375","1194.1484375"
"851968","1192.890625","1192.890625","1192.890625"
"868352","1167.8515625","1167.8515625","1167.8515625"
"884736","1190.375","1190.375","1190.375"
"901120","1207.6015625","1207.6015625","1207.6015625"
"917504","1191.671875","1191.671875","1191.671875"
"933888","1169.15625","1169.15625","1169.15625"
"950272","1142.8828125","1142.8828125","1142.8828125"
"966656","1114.0234375","1114.0234375","1114.0234375"
"983040","1133.3515625","1133.3515625","1133.3515625"
"999424","1142.734375","1142.734375","1142.734375"
"1015808","1162.453125","1162.453125","1162.453125"
"1032192","1176.6484375","1176.6484375","1176.6484375"
"1048576","1171.078125","1171.078125","1171.078125"
"1064960","1182.859375","1182.859375","1182.859375"
"1081344","1179.546875","1179.546875","1179.546875"
"1097728","1191.984375","1191.984375","1191.984375"
"1114112","1223.78125","1223.78125","1223.78125"
