Episode,Extrinsic Return
1,0
2,-3.569435835
3,-4.790330092
4,-5.250283718
5,-5.457108212
6,-5.521693389
7,-5.585796561
8,-5.579113722
9,-5.559019936
10,-5.458092403
11,-5.317872568
12,-5.155105035
13,-5.002602357
14,-4.787774052
15,-4.604639181
16,-4.416145474
17,-4.226814529
18,-4.016821408
19,-3.806442621
20,-3.58064942
21,-3.401562226
22,-3.235031664
23,-2.991081647
24,-2.80052798
25,-2.544965343
26,-2.327089832
27,-2.09375189
28,-1.852492179
29,-1.58686799
30,-1.39281381
31,-1.180905896
32,-1.003171503
33,-0.773483204
34,-0.623906121
35,-0.452890096
36,-0.230096552
37,-0.088984451
38,0.096735616
39,0.227274014
40,0.399108243
41,0.570953055
42,0.818317152
43,1.073510802
44,1.263596264
45,1.431489786
46,1.645558845
47,1.849043248
48,2.082302859
49,2.31750789
50,2.591463709
51,2.79641517
52,3.012928862
53,3.239697825
54,3.528768955
55,3.689560084
56,3.887284117
57,4.092647996
58,4.292375211
59,4.541494507
60,4.876605487
61,5.05605886
62,5.312313918
63,5.560869618
64,5.810448207
65,6.031826614
66,6.289877668
67,6.548956579
68,6.908049815
69,7.227873187
70,7.520066786
71,7.764180875
72,8.100560937
73,8.369048243
74,8.682238199
75,8.958877773
76,9.332910444
77,9.702785548
78,10.00543624
79,10.39335614
80,10.72784415
81,11.06518579
82,11.39795323
83,11.8320836
84,12.22863039
85,12.63336039
86,13.0584881
87,13.45255872
88,13.82583337
89,14.25723554
90,14.64277467
91,15.01662609
92,15.49170959
93,15.87069781
94,16.26190608
95,16.680802
96,17.04324055
97,17.37242752
98,17.82094216
99,18.1782652
100,18.55587262
101,19.14565243
102,19.77859587
103,20.42161938
104,21.09334116
105,21.70566055
106,22.44004608
107,23.13101625
108,23.7996572
109,24.56683302
110,25.26272628
111,25.88577749
112,26.53742258
113,27.19431906
114,27.85624872
115,28.55620251
116,29.24294112
117,29.93261636
118,30.63367418
119,31.30670749
120,31.99448732
121,32.63232013
122,33.28691529
123,33.96260916
124,34.61500022
125,35.26323181
126,36.0119628
127,36.66714975
128,37.31999165
129,37.97133129
130,38.65408602
131,39.36834207
132,40.07075179
133,40.73018702
134,41.39877584
135,42.15230308
136,42.77694949
137,43.42698702
138,44.10831352
139,44.83942363
140,45.50352821
141,46.1113402
142,46.69502823
143,47.37391873
144,48.0950916
145,48.88741747
146,49.59076163
147,50.32912393
148,51.06244284
149,51.72880205
150,52.38541679
151,53.03516688
152,53.74735067
153,54.45606444
154,55.1634517
155,55.89444515
156,56.63090574
157,57.33116781
158,58.00769453
159,58.60504747
160,59.24282978
161,59.92778503
162,60.56403257
163,61.26584835
164,62.01605097
165,62.73023117
166,63.37340757
167,64.07267666
168,64.69200607
169,65.332498
170,66.00725113
171,66.75237402
172,67.43946697
173,68.08342182
174,68.69911808
175,69.33889408
176,69.94742901
177,70.55418308
178,71.20908535
179,71.83991467
180,72.53926472
181,73.11198364
182,73.73181316
183,74.25758423
184,74.85715706
185,75.38326283
186,75.91672649
187,76.50603676
188,77.05283691
189,77.58825409
190,78.1081015
191,78.71127327
192,79.18467472
193,79.77148682
194,80.28043911
195,80.70159492
196,81.22773289
197,81.80467026
198,82.3050526
199,82.86104725
200,83.30835068
201,83.8185498
202,84.25271584
203,84.77153095
204,85.20745667
205,85.67113815
206,86.13291695
207,86.60529053
208,87.11022961
209,87.40558704
210,88.01542171
211,88.5225621
212,88.97156315
213,89.37474129
214,89.87631004
215,90.34481819
216,90.76627312
217,91.2387513
218,91.66826622
219,92.10765663
220,92.63195198
221,93.14289787
222,93.65740654
223,93.97048264
224,94.5529583
225,95.05314079
226,95.42571022
227,95.93457741
228,96.58136681
229,97.04726692
230,97.49615303
231,97.75351196
232,98.18556404
233,98.6345594
234,99.25775032
235,99.5941584
236,100.103506
237,100.7801063
238,101.1953165
239,101.6346789
240,102.1649735
241,102.6830176
242,103.2213278
243,103.7880554
244,104.2198982
245,104.5690944
246,104.9860255
247,105.4759992
248,105.7831422
249,106.3719096
250,106.9007534
251,107.3360374
252,107.6376149
253,108.2856219
254,108.8104574
255,109.311783
256,109.9713107
257,110.3774446
258,110.8195849
259,111.4666904
260,111.876412
261,112.3809784
262,112.9594071
263,113.427532
264,113.7497163
265,114.0623671
266,114.3848833
267,114.5882624
268,115.064649
269,115.589352
270,115.7863219
271,116.2645812
272,116.8316793
273,117.1463973
274,117.4649255
275,117.7489989
276,118.2146951
277,118.5341451
278,118.933941
279,119.415296
280,119.7162592
281,119.9670744
282,120.3951888
283,120.653034
284,121.0738155
285,121.6058949
286,122.1877876
287,122.8383743
288,123.2512904
289,124.0090127
290,125.4634732
291,125.8210267
292,126.2589754
293,126.4009727
294,126.7120618
295,126.9757821
296,127.1865505
297,128.3811847
298,129.3107442
299,129.3999749
300,131.1142204
301,131.3664667
302,132.0997832
303,132.7784348
304,133.5082943
305,135.1597276
306,135.5755244
307,136.2648416
308,137.1508612
309,138.631763
310,139.2544672
311,140.0927041
312,141.6905807
313,142.1835524
314,143.176504
315,144.7818266
316,146.2952529
317,147.5975938
318,149.1371465
319,150.8230672
